IMG0001_0602.172541.622.raw,12631.424797
IMG0002_0602.172554.948.raw,21563.845463
IMG0003_0602.172658.547.raw,12671.319347
IMG0004_0602.172711.888.raw,21588.356118
IMG0005_0602.172815.451.raw,12684.687467
IMG0006_0602.172828.792.raw,21607.818040
IMG0007_0602.172932.355.raw,12693.561923
IMG0008_0602.172945.696.raw,21613.254524
IMG0009_0602.173049.259.raw,12696.523173
IMG0010_0602.173102.600.raw,21628.318392
IMG0011_0602.173206.195.raw,12703.091041
IMG0012_0602.173219.535.raw,21633.117476
IMG0013_0602.173323.099.raw,12695.221816
IMG0014_0602.173336.439.raw,21620.260603
IMG0015_0602.173440.034.raw,12705.389661
IMG0016_0602.173453.390.raw,21626.354405
IMG0017_0602.173556.970.raw,12704.283508
IMG0018_0602.173610.326.raw,21635.337750
IMG0019_0602.173713.889.raw,12702.052611
IMG0020_0602.173727.230.raw,21645.083318
IMG0021_0602.173830.856.raw,12705.582209
IMG0022_0602.173844.197.raw,21630.761755
IMG0023_0602.173947.760.raw,12710.495495
IMG0024_0602.174001.101.raw,21641.041145
IMG0025_0602.174104.680.raw,12715.402140
IMG0026_0602.174118.020.raw,21650.620724
IMG0027_0602.174221.584.raw,12716.131166
IMG0028_0602.174234.925.raw,21653.234060
IMG0029_0602.174338.505.raw,12711.168748
IMG0030_0602.174351.845.raw,21643.666433
IMG0031_0602.174455.408.raw,12711.081105
IMG0032_0602.174508.765.raw,21654.067991
IMG0033_0602.174612.345.raw,12725.356191
IMG0034_0602.174625.701.raw,21653.774522
IMG0035_0602.174729.264.raw,12718.431115
IMG0036_0602.174742.605.raw,21671.329558
IMG0037_0602.174846.200.raw,12728.989367
IMG0038_0602.174859.541.raw,21674.094277
IMG0039_0602.175003.105.raw,12730.309314
IMG0040_0602.175016.446.raw,21676.985148
IMG0041_0602.175120.026.raw,12725.133101
IMG0042_0602.175133.366.raw,21664.429712
IMG0043_0602.175236.931.raw,12734.548019
IMG0044_0602.175250.271.raw,21683.348516
IMG0045_0602.175353.851.raw,12729.517877
IMG0046_0602.175407.192.raw,21676.541624
IMG0047_0602.175510.771.raw,12734.727287
IMG0048_0602.175524.111.raw,21684.920768
IMG0049_0602.175627.675.raw,12735.782980
IMG0050_0602.175641.016.raw,21687.589877
IMG0051_0602.175744.564.raw,12730.975927
IMG0052_0602.175757.921.raw,21689.889826
IMG0053_0602.175901.499.raw,12731.736823
IMG0054_0602.175914.840.raw,21678.769866
IMG0055_0602.180018.419.raw,12739.879597
IMG0056_0602.180031.744.raw,21693.800535
IMG0057_0602.180135.323.raw,12740.979111
IMG0058_0602.180148.663.raw,21690.687903
IMG0059_0602.180252.227.raw,12740.621902
IMG0060_0602.180305.568.raw,21697.213277
IMG0061_0602.180409.178.raw,12737.377806
IMG0062_0602.180422.519.raw,21698.798807
IMG0063_0602.180526.083.raw,12740.296563
IMG0064_0602.180539.424.raw,21699.264905
IMG0065_0602.180642.988.raw,12739.949977
IMG0066_0602.180656.328.raw,21698.264985
IMG0067_0602.180759.878.raw,12740.778596
IMG0068_0602.180813.234.raw,21705.013449
IMG0069_0602.180916.797.raw,12747.052994
IMG0070_0602.180930.153.raw,21694.732732
IMG0071_0602.181033.732.raw,12742.775780
IMG0072_0602.181047.074.raw,21700.611411
IMG0073_0602.181150.684.raw,12742.729303
